,nombre_del_platillo,tiempo_preparacion,porciones,ingredientes,instrucciones,nutricion
447,Peras escalfadas belle helene,3 hrs,4,"6 tazas de agua, 1 limón, zestado y exprimido, 4 peras Bosc - con cáscara, pelada, tallos dejados, 1 haba de vainilla, 3 tazas de azúcar, 1 taza de azúcar caliente preparada, o según sea necesario, 1 taza de helado de vainilla, o como necesario","Coloque el agua en una olla pesada. Agregue la ralladura y el jugo de 1 limón. Coloque las peras en la olla. Divida el grano de vainilla a lo largo y raspe las semillas. Agregue las semillas y dividen las vainas al líquido de caza furtiva. Vierta el azúcar.
Lleve a la olla a fuego lento a fuego medio-alto; Revuelva suavemente para disolver el azúcar con un mínimo de empuje de las peras. Reduzca el fuego para que las peras continúen cocinando sobre un fuego lento y estable y suave. Las peras deben permanecer sumergidas, así que coloque un plato pequeño sobre ellos en la olla para mantenerlos bajo el líquido. Cocine a fuego lento hasta que las peras estén tiernas, de 20 a 25 minutos. (Retire la placa para probar las peras en busca de donación). Retire la olla del fuego y deje que las peras se enfríen a temperatura ambiente en el líquido de caza furtiva.
Transfiera las peras y los granos de vainilla a un recipiente de almacenamiento y cubra con parte del líquido de caza furtiva. Cubra y refrigere hasta que las peras estén completamente frías, varias horas o durante la noche. Reserve todo el líquido de caza furtiva (ver nota al pie).
Caliente la salsa de azúcar caliente en una cacerola a fuego medio hasta que esté caliente. Sumerja la base de la pera en el chocolate y la cuchara de chocolate a lo largo de los lados, excepto por la pulgada superior de la pera.
Coloque las peras bañadas en tazones individuales para servir con otra cucharada generosa de jarabe y una pequeña cucharada de helado de vainilla.









","Total de grasa 14G 17%, grasa saturada 7G 33%, colesterol 15 mg 5%, sodio 252mg 11%, carbohidrato total 241g 88%, fibra dietética 9G 31%, azúcares totales 213G, proteína 4G, vitamina C 29mg 144%, calcio 171mg 13 13 %, Hierro 1 mg 7%, potasio 491mg 10%"
448,Cuero de fruta,5 hrs 20 mins,16,"1 taza de azúcar, ¼ de taza de jugo de limón, 4 tazas peladas, manzana con núcleo y picada, 4 tazas peladas, con núcleo y peras picadas","Precaliente el horno a 150 grados F (65 grados C). Cubra una bandeja para hornear con una capa de envoltura de plástico o papel pergamino.
En el recipiente de una licuadora, combine el azúcar, el jugo de limón, la manzana y la pera. Cubra y haga puré hasta que esté suave. Extienda uniformemente en la sartén preparada. Coloque la sartén en la rejilla superior del horno.
Hornee durante 5 a 6 horas, dejando abierta la puerta al horno a la mitad. La fruta está seca cuando la superficie ya no es pegajosa y puedes rasgarla como el cuero. Enrolle la envoltura de plástico y guarde en un frasco hermético.","Total de grasa 0g 0%, sodio 1 mg 0%, carbohidrato total 24 g 9%, fibra dietética 2G 7%, azúcares totales 20 g, proteína 0 g, vitamina C 5 mg 25%, calcio 6mg 0%, hierro 0 mg 1%, potasio 88mg 2%"
449,Ensalada de pera de arándano,15 mins,6,"¾ taza de aceite de oliva, ¼ de taza de vinagre balsámico, 1 cucharada de azúcar morena oscura, 2 ½ cucharaditas de ajo picado, ½ cucharadita de sal, ½ cucharadita de pimiento negro recién molido, 6 tazas de bebé mixtas, 3 peras, cranbombas secas en rodajas finas, 1 taza, 1 taza de grietas secas, 1 taza de nueces tostadas, ¾ taza de queso havarti en cubos, ½ taza de almendras en rodajas tostadas","Batir aceite de oliva, vinagre balsámico, azúcar morena, ajo, sal y pimienta negra en un tazón mediano.
Combine verdes, peras, arándanos, nueces y queso Havarti en un tazón grande. Vierta el aderezo de vinagre balsámico sobre la ensalada y mezcle. Decorar con almendras para servir.","Total de grasa 50 g 64%, grasas saturadas 9G 44%, colesterol 18 mg 6%, sodio 335mg 15%, carbohidrato total 39g 14%, fibra dietética 7G 25%, azúcares totales 26 g, proteína 8g, vitamina C 14mg 70%, calcio 144mg 11 11 %, Hierro 2mg 9%, potasio 361mg 8%"
450,"Ensalada de frutas de verano con limón, miel y aderezo de menta",1 hrs 20 mins,8,"4 tazas de sandía sembrada en cubos, 2 tazas de fresas frescas en rodajas, 2 duraznos frescos grandes, cortados en cubos, 2 nectarinas grandes, cortadas en cubos, 1 pera roja de anjou, cortado en cubos, 1 taza de uvas sin semillas, a la mitad, 2 limones, juedogadas, jues ¼ de taza de menta fresca picada (menta de chocolate preferida), ½ limón, zestado, 1 cucharada de miel (miel de fireweed preferida)","Combine sandía, fresas, duraznos, nectarinas, pera y uvas en un tazón grande.
Batir el jugo de limón, la menta, la ralladura de limón y la miel en un tazón pequeño; Rocíe sobre la mezcla de frutas y revuelva para cubrir.
Refrigere 1 hora antes de servir.","Total de grasa 1 g 1%, grasa saturada 0G 1%, sodio 3 mg 0%, carbohidrato total 25 g 9%, fibra dietética 3G 10%, azúcares totales 20 g, proteína 2G, vitamina C 51mg 256%, calcio 25 mg 2%, hierro 1 mg 3 mg 3 mg 3 mg 3 %, Potasio 316mg 7%"
451,Pasta de pera de Gorgonzola,25 mins,2,"9 onzas de pasta penne, 2 cucharadas de mantequilla, ½ taza de queso parmesano rallado, 3 cucharadas de queso gorgonzola desmenuzado, ½ taza de crema batida pesada, 1 pera grande, pelada y cubierta, ½ taza de nueces tostadas picadas, pimiento negro molido para saborear","Lleve una olla grande de agua ligeramente salada a hervir. Cocine Penne en el agua hirviendo, revolviendo ocasionalmente, hasta que estén tiernos pero firmes a la mordida, aproximadamente 11 minutos; fuga.
Regresar pasta drenada a la olla; Revuelva la mantequilla, el queso parmesano y el queso Gorgonzola en pasta y colóquelo a fuego medio; Cocine hasta que el queso se derrita por completo. Vierta la crema en la mezcla de pasta; remover. Retirar del fuego y doblar en la pera. Cubra con nueces. Sazonar con pimienta y servir.","Total de grasa 69g 88%, grasa saturada 29G 146%, colesterol 147mg 49%, sodio 712mg 31%, carbohidrato total 237 g 86%, fibra dietética 28 g 99%, azúcares totales 17G, proteína 74G, vitamina C 5 mg 26%, calcio 389mg 30 30 30 %, Hierro 1 mg 8%, potasio 333 mg 7%"
452,Salsa de pato,1 hrs 30 mins,8,"5 tazas de fruta mezclada con picada gruesa (manzanas, ciruelas y peras), 1 taza de agua, ¾ taza de jugo de manzana, 1 cucharadita de salsa de soja, 1 cucharada de conservas de albaricoque, ½ taza de azúcar marrón claro, ½ cucharadita de ajo en polvo","Coloque la fruta en una olla de caldo a fuego medio alto. Agregue agua, jugo de manzana, salsa de soja, conservas de albaricoque, azúcar morena, ajo en polvo y mostaza seca. Lleva a fuego lento, revolviendo con frecuencia para disolver el azúcar moreno. Reduzca el fuego y continúe a fuego lento durante 40 minutos, o hasta que la fruta esté completamente suave. Retire del fuego y deje enfriar.
Mezcle la salsa en un procesador de alimentos o una licuadora hasta que esté completamente suave, ajustando la consistencia con agua adicional, si lo desea. Cubra y refrigere hasta que esté listo para usar.","Total de grasa 0G 1%, sodio 48 mg 2%, carbohidrato total 56G 20%, fibra dietética 3G 11%, azúcares totales 17G, proteína 2G, vitamina C 118mg 589%, calcio 25 mg 2%, hierro 1mg 4%, potasio 256 mg 5%"
453,Budín de ciruela de Navidad,5 hrs 30 mins,20,"1 taza de harina de trigo integral, 2 ½ tazas de migas de pan fresco, 4 onzas de sebo rallado, 3 huevos, batidas, 1 zanahoria pequeña, rallada, 1 manzana - pelada, con núcleo y triturada, ½ taza de azúcar morena oscura, ½ taza de almendras blanqueadas, almendras blanqueadas, 2 onzas de jengibre de tallo conservado en jarabe, picadas, ? ? Almendras molidas de taza, ½ taza de nueces picadas, ? Copa de copa de fruta de fruta mixta a la mitad, ? ? ? ? grosellas secas, ? asa dorada, 4 onzas ceñadas de frutas mixtas confitadas, picadas, 4 ciruelas, picadas y picadas, 1 limón, jugo y zestado, 1 ½ cucharaditas de especias mixtas, ¾ cucharadita de horno en polvo, ½ taza de cerveza","En un tazón grande, combine la harina, las migas de pan, el sebo, los huevos, la zanahoria, la manzana, el azúcar morena, las almendras blanquidas picadas, el jengibre del tallo, las almendras molidas, las cerezas, las pasas, las grosellas, las pasas doradas, las cáscaras mixtas, las plumas, el jugo de limón y el zest , especias mixtas, polvo de hornear y cerveza. Deje que cada miembro de la familia gire agitándose y haga un deseo. Si ha usado más fruta seca que fresca, agregue un poco de cerveza adicional para que la mezcla sea menos rígida.
Engrasa 2 cuencas grandes o 4 de pudín pequeños. Llena con una mezcla de pudín alrededor de 7/8 llena. Cubrir firmemente con papel encerado engrasado, luego papel; asegurar con cadena. Ponte al budín en un trivet en una gran maceta de agua hirviendo que alcanza la mitad de los lados de la cuenca del budín. Pudds de vapor a fuego medio-bajo en agua hirviendo 10 horas para pudines grandes, 5 horas para pudines pequeños, rematando el agua regularmente hasta que esté bastante firme y listo.
Si no se sirve de inmediato, deje enfriar por completo, luego reemplace las cubiertas con papel encerado fresco y papel de aluminio y almacénen en un lugar fresco y seco, que se hincha de vez en cuando con ron o brandy, por hasta 3 meses. Para servir, recaliente al vapor de 2 a 3 horas.","Total de grasa 10G 13%, grasa saturada 4G 18%, colesterol 32mg 11%, sodio 69mg 3%, carbohidrato total 32 g 12%, fibra dietética 3G 10%, azúcares totales 15 g, proteína 4G, vitamina C 6 mg 31%, calcio 50 mg 4 %, Hierro 1 mg 7%, potasio 201mg 4%"
454,Pudin de ciruela,50 mins,6,"12 ciruelas, picadas y reducidas a la mitad, 1 taza de azúcar blanca, ½ taza de agua, 2 cucharadas de tapioca, ½ cucharadita de canela molida, 2 ¼ tazas de hornear con todo uso, 3 cucharadas de azúcar blanca, ? taza de leche, 3 cucharadas de margarina, derretida","Precaliente el horno a 350 grados F (175 grados C).
En una fuente para hornear de 2 cuartos, revuelva las ciruelas, 1 taza de azúcar, agua, tapioca y canela. Hornee en el horno precalentado durante 25 minutos. (También puede cocinar la mezcla de ciruela en el microondas durante 15 minutos).
Levante la temperatura del horno a 450 grados F (230 grados C).
En un tazón mediano, revuelva la mezcla para hornear, 3 cucharadas de azúcar, leche y margarina derretida para formar una masa de galletas. Coloque la masa por cucharadas sobre la mezcla de ciruela. Hornee en el horno precalentado 10 minutos, hasta que estén doradas. Deje que se enfríe un poco antes de servir.","Total de grasa 13G 17%, grasa saturada 3G 16%, colesterol 2mg 1%, sodio 641mg 28%, carbohidrato total 86 g 31%, fibra dietética 3G 10%, azúcares totales 55 g, proteína 5G, vitamina C 13 mg 63%, calcio 113mg 9 9 %, Iron 2mg 11%, potasio 310mg 7%"
455,Pan de ciruela de mi suegra,1 hrs 10 mins,8,"1 taza de ciruelas picadas, 1 cucharada de harina para todo uso, ½ taza de margarina, 1 taza de azúcar blanca, ½ cucharadita de extracto de vainilla, 2 huevos, 1 ½ tazas de harina para todo uso, ½ cucharadita de sal, ¼ cucharadita de soda, ? taza yogurt simple, ¼ taza de azúcar morena","Precaliente el horno a 350 grados F (175 grados C). Rocíe un molde de pan de 9x5 pulgadas con spray de cocción o línea con papel pergamino.
Espolvorea las ciruelas picadas con 1 cucharada de harina en un tazón y revuelve para cubrir. Dejar de lado. En un tazón grande, bata la margarina, el azúcar blanco y el extracto de vainilla con una batidora eléctrica hasta que estén ligeras y esponjosas. Batir en los huevos. En otro tazón, tamice 1 1/2 taza de harina con sal y bicarbonato de sodio. Revuelva los ingredientes secos en la mezcla de huevo, alternando con yogurt hasta que la mezcla forme una masa lisa. Agregue ligeramente las ciruelas recubiertas de harina y vierta la masa en la bandeja de pan preparada. Espolvorea la parte superior de la masa con azúcar morena.
Hornee en el horno precalentado hasta que un palillo de dientes insertado en el centro del pan salga limpio, de 45 a 50 minutos. Retire del horno y deje enfriar en la sartén de 10 a 15 minutos antes de quitar de la sartén para cortar.","Total de grasa 13G 17%, grasa saturada 3G 13%, colesterol 47mg 16%, sodio 343mg 15%, carbohidrato total 51g 19%, fibra dietética 1G 3%, azúcares totales 33G, proteína 5G, vitamina C 2mg 11%, calcio 39mg 3 3 %, Hierro 1 mg 8%, potasio 112mg 2%"
456,Pastel de podredumbre a la antigua,,12,"1 taza de aceite vegetal, 3 huevos, 1 ½ tazas de azúcar blanca, 2 tazas de harina para todo uso, 1 cucharadita de bicarbonato de sodio, 1 cucharadita de sal, 1 cucharadita de pila molida, 1 cucharadita de canela molida ¼ cucharaditas de extracto de vainilla, 1 taza de podas, picada y picada, 1 ½ tazas de nueces picadas, ¾ taza de mantequilla, ¾ taza de suero de leche, 1 ½ cucharaditas de jarabe de maíz oscuro, 1 ½ tazas de azúcar blanca, 2 cucharaditas de vainilla","Precaliente el horno a 350 grados F (175 grados C). Grasa y harina en la bandeja o bandeja de tubo.
En un tazón mediano, mezcle la harina, los refrescos, la sal, la pimienta de Jama, la canela y la nuez moscada. Dejar de lado.
En un tazón grande, combine aceite, huevos y 1 1/2 taza de azúcar. Batir 2 minutos a velocidad media.
Agregue la mezcla de harina, alternando con 1 taza de suero de leche, comenzando y terminando con ingredientes secos. Batir bien después de cada adición. Agregue las ciruelas pasas, las nueces y 1 1/4 cucharadita de vainilla.
Vierta en la bandeja o la bandeja de tubo engrasada y enharinada y hornee a 350 grados F (175 grados C) durante 1 hora o hasta que un palillo salga limpio cuando se inserta en el centro.
Haga agujeros grandes y profundos en pastel caliente y vierta cobertura en agujeros y encima del pastel un poco a la vez, dándole tiempo para empaparse.
Para la cobertura: en cacerola, a fuego medio, cocine mantequilla, 3/4 de taza de suero de leche, jarabe de maíz y 1 1/2 taza de azúcar hasta que el azúcar y la mantequilla se derritan. Retire del fuego y agregue 2 cucharaditas de vainilla y revuelva.","Total de grasa 42g 53%, grasas saturadas 11 g 56%, colesterol 78mg 26%, sodio 438mg 19%, carbohidrato total 80G 29%, fibra dietética 3G 11%, azúcares totales 59G, proteína 7 g, vitamina C 1 mg 6%, calcio 76mg 6 6 6 %, Hierro 2mg 11%, potasio 264 mg 6%"
457,Comida para bebés: ciruela,20 mins,6,"4 ciruelas: peladas, picadas y cortadas en pequeños trozos","Coloque un inserto de vapor en una cacerola y llene con agua justo debajo de la parte inferior de la vaporera. Lleve el agua a ebullición. Agregue ciruelas, cubra y vape hasta que estén tiernos, aproximadamente 10 minutos.
Transfiera las ciruelas a un procesador de alimentos y mezcle, agregando agua de la cacerola según sea necesario, hasta que se alcance la consistencia deseada. Permita que las ciruelas en puré alcancen la temperatura ambiente antes de servir o congelar.","Total de grasa 0g 0%, carbohidrato total 5G 2%, fibra dietética 1G 2%, azúcares totales 4G, proteína 0g, vitamina C 4 mg 21%, calcio 3 mg 0%, hierro 0 mg 1%, potasio 69mg 1%"
458,Pastel de ciruela fácil,1 hrs,8,"¾ taza de azúcar blanca, ½ taza de mantequilla sin sal, a temperatura ambiente, 2 huevos grandes, 1 taza de harina para todo uso, 1 cucharadita de polvo de hornear, 1 sal pizca, 12 ciruelas italianas medianas, a la mitad y picada, 1 ½ cucharadas de azúcar de canela, o azúcar de canela probar","Precaliente el horno a 350 grados F (175 grados C). Engrase una bandeja de resorte de 10 pulgadas.
Combine el azúcar y la mantequilla en un tazón grande y bata con una batidora eléctrica hasta que estén cremosas. Agregue huevos, 1 a la vez y bata bien después de cada adición. Combine la harina, el polvo de hornear y la sal en un tazón aparte y tamice sobre la mezcla de mantequilla. Mezclar para combinar. Transfiera la masa a la bandeja de resorte preparada y alise.
Coloque las ciruelas dentro de la masa, corta hacia arriba y espolvoree uniformemente con azúcar de canela.
Hornee en el horno precalentado en la rejilla más baja hasta que una brocheta salga limpia, de 40 a 50 minutos. Sirva tibio o frío a temperatura ambiente.","Total de grasa 13G 17%, grasa saturada 8G 39%, colesterol 77mg 26%, sodio 100mg 4%, carbohidrato total 45 g 16%, fibra dietética 2G 6%, azúcares totales 29 g, proteína 4G, vitamina C 9 mg 47%, calcio 52mg 4 4 %, Hierro 1 mg 7%, potasio 193mg 4%"
459,Licor de ciruela picante,21 days 1 hrs,80,"16 tazas de ciruelas negras o rojas, picadas y cortadas en octavos, 3 ¼ tazas de azúcar blanca, dividida, 3 tazas de vodka a prueba, 1 ½ cucharadas de extracto de vainilla, dividido, 1 cáscara de naranja en pedazos, dividido","Coloque la mitad de las ciruelas en el fondo de un frasco muy grande con una tapa, presionando las ciruelas hacia abajo lo más fuerte posible. Vierta la mitad del azúcar sobre las ciruelas, luego la mitad del vodka sobre el azúcar. Espolvorea la mitad del extracto de vainilla y coloca aproximadamente la mitad de las piezas de cáscara de naranja en el frasco. Coloque el resto de las ciruelas en el frasco, presionándolas hacia abajo, y cubra con el azúcar restante, el vodka, el extracto de vainilla y las piezas de cáscara de naranja. Atornille la tapa del frasco.
Usando una vela sin perfume, gotee un recubrimiento de cera alrededor de la tapa del frasco para evitar la fuga. Cubra el frasco con una toalla de color oscuro. Coloque el frasco de lado en un lugar oscuro y fresco, y gire el frasco todos los días durante 21 días, reemplazando la toalla para evitar la luz.
Después de 21 días, cuele el licor de las ciruelas y pele con un colador fino forrado con queso, y embota el licor en botellas atractivas con tapas ajustadas.","Total de grasa 0g 0%, sodio 0 mg 0%, carbohidrato total 12 g 4%, fibra dietética 1G 2%, azúcares totales 11 g, proteína 0 g, vitamina C 3 mg 16%, calcio 2 mg 0%, hierro 0 mg 1%, potasio 53mg 1%1%"
460,Pastel de ciruela,1 hrs 30 mins,8,"3 tazas de harina para todo uso, ¾ taza de azúcar blanca, 2 ½ cucharaditas de polvo de hornear, ? Cucharera, ? ? taza de mantequilla, 2 huevos, 1 cucharadita de extracto de vainilla, 3 cucharadas de leche, ½ cucharadita de zest de limón, ½ taza de harina todo uso, harina de uso total, ¼ de taza de azúcar morena empaquetada, ½ cucharadita de canela molida, ¼ cucharadita de sal, ? taza de avellanas picadas, 1 cucharadita de calma de limón, 3 cucharadas de mantequilla, 5 tazas de ciruelas, picadas y en rodajas, 1 taza de azúcar blanca, ¼ de taza de harina de uso total, 1 cucharadita de canela molida, ½ cucharadita de nuez moscada","Precaliente el horno a 375 grados F (190 grados C).
Para hacer la corteza: en un tazón grande, combine la harina de 3 tazas, 3/4 tazas de azúcar blanca, polvo de hornear y 1/8 cucharadita de sal. Mezcle bien, luego corte en 2/3 taza de mantequilla o margarina con una licuadora de pastelería, hasta que las piezas sean del tamaño de los guisantes pequeños. Agregue huevos, extracto de vainilla, leche y ralladura de limón. Mezcle hasta que se combinen todos los ingredientes. Permita que la masa descanse en el refrigerador.
Para hacer cobertura de streusel: en un tazón mediano, mezcle 1/2 taza de harina, azúcar morena, 1/2 cucharadita de canela, 1/4 cucharadita de sal, nueces picadas y ralladura de limón rallado. Trabaje en mantequilla o margarina con dedos hasta que todos los ingredientes estén bien combinados. Dejar de lado.
Para hacer llenado de frutas: coloque fruta picada y en rodajas en un tazón grande. En un tazón pequeño, mezcle el azúcar restante, la harina, la canela y la nuez moscada hasta que estén completamente combinados. Vierta sobre la fruta y revuelva suavemente hasta que toda la fruta esté uniformemente recubierta.
Extle la corteza de pastel y colóquelo en un molde para pastel de 9 pulgadas. Recorte y flauta bordes, luego vierta el relleno de frutas. Cubra uniformemente la fruta con cobertura de streusel y hornee en el horno precalentado durante 45 a 55 minutos. Servir cálido o a temperatura ambiente.","Total de grasa 25 g 32%, grasa saturada 13G 67%, colesterol 99mg 33%, sodio 424mg 18%, carbohidrato total 109 g 40%, fibra dietética 4G 14%, azúcares totales 62 g, proteína 10 g, vitamina C 11mg 53%, calcio 136mg 10 10 10 %, Iron 4 mg 20%, potasio 303 mg 6%"
461,Pastel de ciruela,1 hrs,8,"3 huevos, ½ taza de mantequilla, ablandado, ½ taza de azúcar blanco, 1 cucharadita de ralladura de limón, 1 taza de harina de uso múltiple, ½ cucharadita de polvo de hornear, 1 ¼ tazas de ciruelas, picaduras y cortes","Precaliente el horno a 375 grados F (190 grados C). Engrasa y harina una bandeja de tubo de 9 pulgadas.
Separe los huevos. En un tazón pequeño, bata las claras de huevo hasta que se formen picos rígidos y reserve.
En un tazón grande, críe la mantequilla y el azúcar. Batir en las yemas de huevo y la ralladura de limón.
Agregue la harina y el polvo de hornear y luego mezcle la mezcla de harina en la mezcla de crema. Dobla suavemente las claras de huevo. Extienda la masa uniformemente en la sartén preparada. Solo habrá un poco más de una pulgada de masa. Organice las ciruelas, la piel hacia abajo, atractivamente sobre la masa.
Hornee en el horno precalentado hasta que un probador insertado en el centro salga limpio, aproximadamente 40 minutos. Transfiera a una rejilla de enfriamiento y deje enfriar antes de servir.","Total de grasa 14G 17%, grasa saturada 8G 40%, colesterol 100mg 33%, sodio 139mg 6%, carbohidrato total 28g 10%, fibra dietética 1G 3%, azúcares totales 15 g, proteína 4G, vitamina C 3 mg 14%, calcio 35mg 35mg 35 %, Hierro 1 mg 6%, potasio 86mg 2%"
462,Tomo de cerdo asado con salsa de ciruela fresca,1 hrs,2,"1 pomado de cerdo, sal y pimienta negra molida al gusto, 1 cucharada de aceite vegetal, 1 cebolla roja, en rodajas, 2 chalotes, en rodajas, 3 ramitas de tomillo fresco o más al gusto, 2 ciruelas firmes, picadas y cada una cortada en 4 cuñas, 1 taza de agua, 1 cucharada de vinagre balsámico, 1 cucharadita de mantequilla fría","Precaliente el horno a 400 grados F (200 grados C). Sazone generosamente a las lomo de cerdo con sal y pimienta negra.
Caliente el aceite en una sartén grande a prueba de horno a fuego medio-alto. Cocine lomo hasta que estén dorados por todos los lados, de 2 a 4 minutos por lado. Transfiera las lomo a un plato.
Saltee la cebolla con una pizca de sal en la misma sartén hasta que solo se ablanden, de 3 a 5 minutos. Agregue las chalotas, reduzca el fuego a medio y cocine y revuelva hasta que las chalotes y la cebolla estén doradas y caramelizadas, aproximadamente 10 minutos.
Revuelva el tomillo en la mezcla de cebolla; Coloque el lomo sobre la mezcla de cebolla y coloque los cuartos de la ciruela, el lado de la piel hacia abajo, alrededor de la cerdo. Transfiera la sartén al horno precalentado.
Cocine hasta que la carne de cerdo esté ligeramente rosa en el centro, aproximadamente 20 minutos. Un termómetro de lectura instantánea insertada en el centro debe leer al menos 145 grados F (63 grados C). Transfiera la carne de cerdo y las ciruelas a un plato.
Coloque la sartén a fuego medio-alto y vierta agua y vinagre balsámico en la mezcla de cebolla. Lleve a ebullición la mezcla mientras raspa los trozos de comida dorados del fondo de la sartén con una cuchara de madera. Cocine y revuelva hasta que el líquido se reduzca a la mitad, de 5 a 10 minutos; alejar del calor. Batir la mantequilla en la mezcla hasta que se derrita y la salsa esté brillante. Vierta salsa sobre carne de cerdo y ciruelas.









","Total de grasa 15g 19%, grasa saturada 4G 21%, colesterol 104mg 35%, sodio 182mg 8%, carbohidrato total 23g 8%, fibra dietética 2G 9%, azúcares totales 12 g, proteína 37 g, vitamina C 16 mg 81%, calcio 54mg 4 4 %, Iron 3mg 14%, potasio 929mg 20%"
463,Plum Kuchen,50 mins,12,"½ taza de azúcar blanca, 2 cucharadas de margarina, 2 huevos, batidos, 1 taza de harina para todo uso, 1 cucharadita de polvo de hornear, ¼ cucharadita de sal, 1 cucharadita de extracto de vainilla, 10 ciruelas italianas, a la mitad y picaduras","Precaliente el horno a 350 grados F (175 grados C). Engrase y harina una fuente para hornear de 7x11 pulgadas.
Batir 1/2 taza de azúcar y 2 cucharadas de margarina en un tazón con una batidora eléctrica hasta que esté suave y cremosa. Mezcle huevos, 1 taza de harina, polvo de hornear y sal en la mezcla de margarina crema; Agregue la vainilla. Vierta la masa en la fuente de hornear preparada. Coloque las ciruelas, la piel hacia abajo, sobre la masa.
Mezcle 1 taza de azúcar, 1/2 taza de harina, 3 cucharadas de margarina y canela en un tazón hasta que se desmoronen; Coloque sobre la masa y las ciruelas.
Hornee en el horno precalentado hasta que las ciruelas se ablanden, aproximadamente 35 minutos.","Total de grasa 6G 7%, grasa saturada 1G 6%, colesterol 31 mg 10%, sodio 153 mg 7%, carbohidrato total 44 g 16%, fibra dietética 1G 4%, azúcares totales 31G, proteína 3G, vitamina C 5mg 26%, calcio 36mg 3 mg 3 %, Hierro 1 mg 6%, potasio 118 mg 3%"
464,Salsa de budín de ciruela,25 mins,4,"2 cucharadas de margarina, ¾ taza de azúcar blanca, 1 huevo, 2 tazas de leche, 2 cucharaditas de harina para todo uso, 1 cucharadita de extracto de vainilla","En una cacerola pequeña a fuego medio, combine la margarina, el azúcar y el huevo. Vierta la leche y cocine hasta que la mezcla comience a burbujear; Tenga cuidado de no escalonar. Agregue la harina y la vainilla; Mezcle bien y sirva.","Total de grasa 9G 12%, grasa saturada 3G 14%, colesterol 56mg 19%, sodio 130mg 6%, carbohidrato total 45g 16%, azúcares totales 44 g, proteína 6g, vitamina C 0mg 2%, calcio 152mg 12%, hierro 0mg 2% , Potasio 206mg 4%"
465,Plum Clafouti,1 hrs 10 mins,8,"6 cucharadas de azúcar blanca, dividida, 14 ciruelas de poda italiana, a la mitad y picada, 3 huevos, 1 tazas de leche, ? Taza de harina de uso múltiple, 1 ½ cucharaditas de ralladura de limón rallado, 2 cucharaditas de vainilla, 1 pizca de sal, ½ teaspoon de canalina molida de canalina , 2 cucharadas de azúcar de los confitores","Precaliente el horno a 375 grados F (190 grados C). Mantee un plato de pastel de 10 pulgadas y espolvoree 1 cucharada de azúcar sobre el fondo.
Organice las mitades de la ciruela, corte hacia abajo, para que cubran todo el fondo de la placa del pastel. Espolvorea 2 cucharadas de azúcar sobre la parte superior de las ciruelas. En una licuadora, combine las 3 cucharadas restantes de azúcar, huevos, leche, harina, ralladura de limón, canela, vainilla y sal. Procese hasta que esté suave, aproximadamente 2 minutos. Vierta sobre la fruta en la sartén.
Hornee durante 50 a 60 minutos en el horno precalentado, o hasta que estén firmes y ligeramente dorados. Deje reposar 5 minutos antes de cortar. Espolvorea con azúcar de los confidencios antes de servir.","Total de grasa 3G 4%, grasa saturada 1G 6%, colesterol 73 mg 24%, sodio 63 mg 3%, carbohidrato total 35 g 13%, fibra dietética 2G 7%, azúcares totales 25 g, proteína 6G, vitamina C 12mg 58%, calcio 68mg 5 5 %, Hierro 1 mg 6%, potasio 282mg 6%"
466,Mantequilla de ciruela,18 hrs 55 mins,32,"4 ½ libras de ciruelas, picadas y cortadas en cubitos, ¼ de taza de agua, o según sea necesario, 1 taza de azúcar blanca","Coloque las ciruelas en una serie grande y agregue suficiente agua para cubrir el fondo de la serie; Cocine a fuego muy bajo, revolviendo ocasionalmente, hasta que las ciruelas estén desglosadas, aproximadamente 2 horas. Retire la serie del fuego y enfríe durante 2 horas.
Devolver Stockpot a la estufa a fuego lento; Cocine suavemente durante 2 a 3 horas. Retirar del fuego y mantener a temperatura ambiente, 8 horas hasta la noche.
Cocine las ciruelas a fuego lento, revolviendo ocasionalmente, aproximadamente 2 horas. Retire del fuego y deje reposar a temperatura ambiente durante 2 horas.
Hacer hervir las ciruelas; Agregue el azúcar, el fuego más bajo y cocine a fuego lento hasta que esté espesado, aproximadamente 15 minutos.
Esterilice frascos y tapas en agua hirviendo durante al menos 5 minutos. Empaque la mantequilla de ciruela en frascos calientes, llenándose a 1/4 de pulgada de la parte superior. Pase un cuchillo limpio o una espátula delgada alrededor del interior de los frascos para eliminar las burbujas de aire. Limpie los bordes de los frascos con una toalla de papel húmeda para eliminar cualquier residuo de alimentos. Cubra con tapas y atornille los anillos.
Coloque una rejilla en el fondo de una serie grande y llene a mitad de camino con agua. Lleve a ebullición y baje los frascos en el agua hirviendo con un soporte. Deje un espacio de 2 pulgadas entre los frascos. Vierta más agua hirviendo si es necesario para llevar el nivel de agua a al menos 1 pulgada por encima de la parte superior de los frascos. Lleve el agua a hervir, cubra la olla y procese durante 15 minutos.
Retire los frascos de la serie y colóquelo en una superficie cubierta de tela o de madera, a varias pulgadas de distancia, hasta que se enfríe. Presione la parte superior de cada tapa con un dedo, asegurando que el sello esté apretado (la tapa no se mueve hacia arriba ni hacia abajo en absoluto). Almacene en un área fresca y oscura.","Total de grasa 0g 0%, sodio 0 mg 0%, carbohidrato total 14G 5%, fibra dietética 1G 3%, azúcares totales 13 g, proteína 0 g, vitamina C 6mg 31%, calcio 4 mg 0%, hierro 0 mg 1%, potasio 101mg 2%"
